Distance_km,Bed_Elevation_m,Latitude,Longitude
8.719792063496907275e+00,-8.045854491826700041e+02,7.289048689879150800e+01,-5.496542859543659176e+01
8.754952535100276378e+00,-8.050820081830615891e+02,7.289048812936248112e+01,-5.496649889917804899e+01
8.790113006816921981e+00,-8.054916118827613900e+02,7.289048935404790086e+01,-5.496756920307531402e+01
8.825273478646357361e+00,-8.059091362571734862e+02,7.289049057284782407e+01,-5.496863950712764080e+01
8.860433950588031848e+00,-8.063345813062936713e+02,7.289049178576216548e+01,-5.496970981133428324e+01
8.895594422641000421e+00,-8.067679470301237643e+02,7.289049299279101035e+01,-5.497078011569448108e+01
8.930754894805428279e+00,-8.071018752008574211e+02,7.289049419393431606e+01,-5.497185042020750956e+01
8.965915367080096843e+00,-8.074361500483050804e+02,7.289049538919205418e+01,-5.497292072487260128e+01
9.001075839464739659e+00,-8.077769785504623314e+02,7.289049657856426734e+01,-5.497399102968901730e+01
9.036236311959074285e+00,-8.081243607073322437e+02,7.289049776205095554e+01,-5.497506133465601863e+01
9.071396784562111293e+00,-8.084476178047557369e+02,7.289049893965209037e+01,-5.497613163977284501e+01
9.106557257273804495e+00,-8.087537170667712871e+02,7.289050011136767182e+01,-5.497720194503876456e+01
9.141717730093180450e+00,-8.090650937152472579e+02,7.289050127719772831e+01,-5.497827225045301702e+01
9.176878203019720459e+00,-8.093625180258120508e+02,7.289050243714223143e+01,-5.497934255601485631e+01
9.212038676053131425e+00,-8.096394240433476170e+02,7.289050359120116696e+01,-5.498041286172354347e+01
9.247199149192688594e+00,-8.099258252482558191e+02,7.289050473937457753e+01,-5.498148316757832532e+01
9.282359622437866165e+00,-8.102187789591143883e+02,7.289050588166243472e+01,-5.498255347357845579e+01
9.317520095788381695e+00,-8.105182851759291225e+02,7.289050701806473853e+01,-5.498362377972319592e+01
9.352680569243258191e+00,-8.108243438986941101e+02,7.289050814858148897e+01,-5.498469408601178543e+01
9.387841042802214986e+00,-8.111639578248233420e+02,7.289050927321268603e+01,-5.498576439244348535e+01
9.423001516464507787e+00,-8.115144965961384287e+02,7.289051039195834392e+01,-5.498683469901754250e+01
9.458161990230081528e+00,-8.118704919598911829e+02,7.289051150481843422e+01,-5.498790500573322504e+01
9.493322464097722957e+00,-8.122319439160833099e+02,7.289051261179295693e+01,-5.498897531258976557e+01
9.528482938067620367e+00,-8.126211649700421731e+02,7.289051371288192627e+01,-5.499004561958643933e+01
9.563643412138333133e+00,-8.130403182217663698e+02,7.289051480808535644e+01,-5.499111592672247184e+01
9.598803886310268041e+00,-8.134630912046023923e+02,7.289051589740320480e+01,-5.499218623399714545e+01
9.633964360582222497e+00,-8.138894839185524006e+02,7.289051698083549979e+01,-5.499325654140969277e+01
9.669124834953668923e+00,-8.143228013693628782e+02,7.289051805838221298e+01,-5.499432684895936774e+01
